sku,color,size,quantity,category,design_number,lot_number,lot_code
NK0172,,,1,FINISHED GOODS,NK0172,,
SF1767,,,17,FINISHED GOODS,SF1767,,
SF1807,,,1,FINISHED GOODS,SF1807,,
SF1813,,,1,FINISHED GOODS,SF1813,,
SF1819,,,1,FINISHED GOODS,SF1819,,
SF1821,,,1,FINISHED GOODS,SF1821,,
GS0164-02028-L,MUSTARD,L,1,FINISHED INDO-WESTERN,GS0164,095,02028
GS0164-02028-M,MUSTARD,M,1,FINISHED INDO-WESTERN,GS0164,095,02028
GS0164-02028-42,NAVY BLUE,42,12,FINISHED INDO-WESTERN,GS0164,095,02028
GS0164-02028-M,NAVY BLUE,M,4,FINISHED INDO-WESTERN,GS0164,095,02028
NK0035-02043-42,PURPLE,42,1,FINISHED INDO-WESTERN,NK0035,651,02043
NS0058-00642-42,MUSTARD,42,1,FINISHED INDO-WESTERN,NS0058,,
00738,,,1,FINISHED INDO-WESTERN,NS0058,,
00742,,,1,FINISHED INDO-WESTERN,NS0058,,
NS0058-10006-38,MOVE,38,1,FINISHED INDO-WESTERN,NS0058,X06,10006
NS0058-10006-42,MOVE,42,1,FINISHED INDO-WESTERN,NS0058,X06,10006
NS0066-17005-46,GREEN,46,1,FINISHED INDO-WESTERN,NS0066,995,17005
NS0066-16009-38,ONION,38,1,FINISHED INDO-WESTERN,NS0066,295,16009
NS0070-11010-38,MAROON,38,1,FINISHED INDO-WESTERN,NS0070,889,11010
NS0070-11010-40,MAROON,40,1,FINISHED INDO-WESTERN,NS0070,889,11010
NS0070-09041-40,MAROON,40,1,FINISHED INDO-WESTERN,NS0070,941,09041
NS0070-11010-44,MAROON,44,2,FINISHED INDO-WESTERN,NS0070,889,11010
NS0070-13010-46,MAROON,46,2,FINISHED INDO-WESTERN,NS0070,521,13010
NS0115-01738-38,BEIGE,38,1,FINISHED INDO-WESTERN,NS0115,,
NS0176-02021-M,MUSTARD,M,1,FINISHED INDO-WESTERN,NS0176,021,02021
NS0180-08021-40,WHITE,40,1,FINISHED INDO-WESTERN,NS0180,OFF,08021
NS0180-08021-42,WHITE,42,1,FINISHED INDO-WESTERN,NS0180,OFF,08021
NS0180-08021-44,WHITE,44,1,FINISHED INDO-WESTERN,NS0180,OFF,08021
NS0195-01017-38,GREEN,38,1,FINISHED INDO-WESTERN,NS0195,017,01017
NS0195-01017-42,GREEN,42,1,FINISHED INDO-WESTERN,NS0195,017,01017
NS0195-01017-M,ONION,M,1,FINISHED INDO-WESTERN,NS0195,017,01017
NS0225-01001-38,RANI,38,1,FINISHED INDO-WESTERN,NS0225,101,01001
NS0226-01001-M,RANI,M,1,FINISHED INDO-WESTERN,NS0226,101,01001
S00343-007XL-XL,GREEN,XL,1,FINISHED INDO-WESTERN,S00343,,
S00644-003L-L,RED,L,1,FINISHED INDO-WESTERN,S00644,,
MIXFREE,,,45,FINISHED INDO-WESTERN,SAMPLE,,
SF306A-019L-L,GREY,L,1,FINISHED INDO-WESTERN,SF306A,,
SF766A-007L-L,GREEN,L,4,FINISHED INDO-WESTERN,SF766A,,
SF766A-007XL-XL,GREEN,XL,5,FINISHED INDO-WESTERN,SF766A,,
SFMS06,,,2,FINISHED INDO-WESTERN,SF766A,,
SF766A-007M-M,GREEN,M,1,FINISHED INDO-WESTERN,SF766A,,
AS0001-01016-L,T.BLUE,L,1,6211 SUIT,AS0001,116,01016
GS0153-04022-38,WHITE,38,2,6211 SUIT,GS0153,OFF,04022
GS0153-04022-40,WHITE,40,1,6211 SUIT,GS0153,OFF,04022
GS0153-04022-42,WHITE,42,1,6211 SUIT,GS0153,OFF,04022
GS0185-07020-42,RANI,42,1,6211 SUIT,GS0185,720,07020
GS0188-01001-42,WHITE,42,1,6211 SUIT,GS0188,OFF,01001
GS0198-06012-38,BLACK,38,1,6211 SUIT,GS0198,561,06012
GS0198-04013-42,GREY,42,1,6211 SUIT,GS0198,514,04013
GS0201-01001-42,BLACK,42,1,6211 SUIT,GS0201,101,01001
GS0202-04080-38,BLACK,38,1,6211 SUIT,GS0202,987,04080
GS0206-01001-42,BLACK,42,1,6211 SUIT,GS0206,101,01001
GS0212-01001-42,MUSTARD,42,1,6211 SUIT,GS0212,101,01001
KD0001-019L-L,GREY,L,1,6211 SUIT,KD0001,,
LB0002-03238-38,RUST,38,1,6211 SUIT,LB0002,,
LB0007-02021-XXL,LEMON,XXL,1,6211 SUIT,LB0007,021,02021
LB0016-02015-M,BLUE,M,1,6211 SUIT,LB0016,520,02015
LB0019-02012-M,LEMON,M,1,6211 SUIT,LB0019,022,02012
LP0002-T.BF-F,T.BLUE,F,1,6211 SUIT,LP0002,,
MM0005-01015-L,BLUE,L,1,6211 SUIT,MM0005,515,01015
MS0017-04-M,MOVE,M,1,6211 SUIT,MS0017,,
NK0005-09040-42,MOVE,42,4,6211 SUIT,NK0005,798,09040
NK0005-09040-46,MOVE,46,4,6211 SUIT,NK0005,798,09040
NK0005-09040-38,T.BLUE,38,4,6211 SUIT,NK0005,798,09040
NK0005-09040-42,T.BLUE,42,6,6211 SUIT,NK0005,798,09040
NK0005-09040-46,T.BLUE,46,4,6211 SUIT,NK0005,798,09040
NK0008-01001-38,PEACH,38,1,6211 SUIT,NK0008,101,01001
NK0011-04072-38,BLACK,38,5,6211 SUIT,NK0011,878,04072
NK0011-04072-40,BLACK,40,1,6211 SUIT,NK0011,878,04072
NK0011-03040-42,BLACK,42,1,6211 SUIT,NK0011,340,03040
NK0011-04072-42,BLACK,42,2,6211 SUIT,NK0011,878,04072
NK0011-04072-46,BLACK,46,3,6211 SUIT,NK0011,878,04072
NK0023-03075-40,GREY,40,1,6211 SUIT,NK0023,030,03075
NK0031-00446-46,PURPLE,46,1,6211 SUIT,NK0031,,
NK0036-01001-42,PURPLE,42,1,6211 SUIT,NK0036,101,01001
NK0037-02056-46,WHITE,46,1,6211 SUIT,NK0037,OFF,02056
NK0044-01001-42,MOVE,42,1,6211 SUIT,NK0044,101,01001
NK0046-03074-42,MOVE,42,1,6211 SUIT,NK0046,374,03074
NK0047-02036-42,MOVE,42,1,6211 SUIT,NK0047,236,02036
NK0052-01001-42,ONION,42,1,6211 SUIT,NK0052,101,01001
NK0053-02050-46,GREEN,46,1,6211 SUIT,NK0053,250,02050
NK005U,,,1,6211 SUIT,NK0053,,
"NK0053-SIZE,04040-FREE",T.BLUE,FREE,1,6211 SUIT,NK0053,,"SIZE,04040"
NK0061-03045-46,MOVE,46,1,6211 SUIT,NK0061,345,03045
NK0061-03045-38,F.BLUE,38,1,6211 SUIT,NK0061,345,03045
NK0061-03045-46,F.BLUE,46,1,6211 SUIT,NK0061,345,03045
NK0061-03045-46,LEMON,46,1,6211 SUIT,NK0061,345,03045
NK0062-04030-42,BLACK,42,1,6211 SUIT,NK0062,4,04030
NK0067-03025-42,BLACK,42,1,6211 SUIT,NK0067,325,03025
NK0067-00244-44,BLUE,44,1,6211 SUIT,NK0067,,
NK0071-04060-38,BLACK,38,1,6211 SUIT,NK0071,460,04060
NK0071-04060-40,BLACK,40,1,6211 SUIT,NK0071,460,04060
NK0071-06020-40,BLUE,40,1,6211 SUIT,NK0071,620,06020
NK0071-06020-42,BLUE,42,1,6211 SUIT,NK0071,620,06020
NK0071-06020-44,BLUE,44,2,6211 SUIT,NK0071,620,06020
NK0071-06020-38,WINE,38,1,6211 SUIT,NK0071,620,06020
NK0071-06020-40,WINE,40,1,6211 SUIT,NK0071,620,06020
NK0071-05030-42,WINE,42,1,6211 SUIT,NK0071,530,05030
NK0071-04060-46,WINE,46,1,6211 SUIT,NK0071,460,04060
NK0078-02020-44,ORANGE,44,1,6211 SUIT,NK0078,02,02020
NK0079-03060-46,ORANGE,46,1,6211 SUIT,NK0079,360,03060
NK0086-02001-42,MUSTARD,42,1,6211 SUIT,NK0086,201,02001
01138,,,1,6211 SUIT,NK0096,,
01144,,,1,6211 SUIT,NK0096,,
NK0100-06024-38,PURPLE,38,4,6211 SUIT,NK0100,624,06024
NK0100-06024-42,PURPLE,42,1,6211 SUIT,NK0100,624,06024
NK0100-05024-44,PURPLE,44,2,6211 SUIT,NK0100,086,05024
NK0100-03018-38,RUST,38,1,6211 SUIT,NK0100,318,03018
NK0105-04015-38,PURPLE,38,1,6211 SUIT,NK0105,655,04015
NK0107-06040-38,BLUE,38,1,6211 SUIT,NK0107,604,06040
NK0107-06040-40,BLUE,40,1,6211 SUIT,NK0107,604,06040
NK0107-06040-38,MUSTARD,38,2,6211 SUIT,NK0107,604,06040
NK0107-06040-40,MUSTARD,40,3,6211 SUIT,NK0107,604,06040
00642,,,1,6211 SUIT,NK0107,,
NK0107-06040-42,MUSTARD,42,2,6211 SUIT,NK0107,604,06040
NK0107-06040-44,MUSTARD,44,1,6211 SUIT,NK0107,604,06040
NK0109-05020-46,BLUE,46,1,6211 SUIT,NK0109,578,05020
NK0109-05020-42,WHITE,42,1,6211 SUIT,NK0109,OFF,05020
NK0109-05020-46,WHITE,46,1,6211 SUIT,NK0109,OFF,05020
NK0110-05030-38,BLUE,38,1,6211 SUIT,NK0110,530,05030
NK0110-05030-38,RANI,38,2,6211 SUIT,NK0110,530,05030
NK0110-01030-46,RANI,46,1,6211 SUIT,NK0110,013,01030
NK0111-01045-38,MOVE,38,1,6211 SUIT,NK0111,145,01045
NK0111-01045-40,MOVE,40,2,6211 SUIT,NK0111,145,01045
NK0111-01045-42,MOVE,42,1,6211 SUIT,NK0111,145,01045
NK0111-01045-44,MOVE,44,1,6211 SUIT,NK0111,145,01045
NK0111-01045-46,MOVE,46,1,6211 SUIT,NK0111,145,01045
NK0111-01045-40,F.BLUE,40,1,6211 SUIT,NK0111,145,01045
NK0111-01045-42,F.BLUE,42,4,6211 SUIT,NK0111,145,01045
NK0111-01045-44,F.BLUE,44,2,6211 SUIT,NK0111,145,01045
NK0111-01045-46,F.BLUE,46,1,6211 SUIT,NK0111,145,01045
NK0111-01045-38,LEMON,38,1,6211 SUIT,NK0111,145,01045
NK0111-01045-40,LEMON,40,1,6211 SUIT,NK0111,145,01045
NK0116-01063-40,BLACK,40,1,6211 SUIT,NK0116,546,01063
NK0116-04060-38,RANI,38,2,6211 SUIT,NK0116,460,04060
NK0116-01063-46,RANI,46,1,6211 SUIT,NK0116,546,01063
NK0122-03030-40,ONION,40,1,6211 SUIT,NK0122,033,03030
NK0122-03030-38,WHITE,38,2,6211 SUIT,NK0122,OFF,03030
NK0122-01020-40,WHITE,40,1,6211 SUIT,NK0122,OFF,01020
NK0122-03030-40,WHITE,40,1,6211 SUIT,NK0122,OFF,03030
NK0122-03030-42,WHITE,42,2,6211 SUIT,NK0122,OFF,03030
NK0122-03030-46,WHITE,46,3,6211 SUIT,NK0122,OFF,03030
NK0123-05045-42,PURPLE,42,1,6211 SUIT,NK0123,550,05045
NK0123-05045-38,RANI,38,1,6211 SUIT,NK0123,550,05045
NK0123-05045-40,RANI,40,1,6211 SUIT,NK0123,550,05045
NK0123-05045-42,RANI,42,1,6211 SUIT,NK0123,550,05045
NK0123-05045-38,WHITE,38,1,6211 SUIT,NK0123,OFF,05045
NK0123-05045-42,WHITE,42,2,6211 SUIT,NK0123,OFF,05045
NK0123-05045-44,WHITE,44,3,6211 SUIT,NK0123,OFF,05045
NK0126-00738-38,GREEN,38,1,6211 SUIT,NK0126,,
NK0126-04030-38,WHITE,38,1,6211 SUIT,NK0126,OFF,04030
NK0127-03030-38,MUSTARD,38,1,6211 SUIT,NK0127,033,03030
NK0127-04040-38,MUSTARD,38,1,6211 SUIT,NK0127,044,04040
NK0127-06060-40,WHITE,40,1,6211 SUIT,NK0127,OFF,06060
NK0127-06060-44,WHITE,44,1,6211 SUIT,NK0127,OFF,06060
NK0136-07057-40,GREEN,40,2,6211 SUIT,NK0136,770,07057
NK0136-07057-46,GREEN,46,1,6211 SUIT,NK0136,770,07057
NK0136-07057-38,WHITE,38,1,6211 SUIT,NK0136,OFF,07057
NK0136-07057-40,WHITE,40,1,6211 SUIT,NK0136,OFF,07057
NK0136-07057-42,WHITE,42,5,6211 SUIT,NK0136,OFF,07057
NK0136-07057-44,WHITE,44,1,6211 SUIT,NK0136,OFF,07057
NK0136-07057-46,WHITE,46,4,6211 SUIT,NK0136,OFF,07057
NK0136-07057-50,WHITE,50,1,6211 SUIT,NK0136,OFF,07057
03338,,,1,6211 SUIT,NK0136,,
NK0136-04-46,MOVE,46,2,6211 SUIT,NK0136,,
NK0136-07057-46,MOVE,46,2,6211 SUIT,NK0136,770,07057
NK0136-07057-50,MOVE,50,1,6211 SUIT,NK0136,770,07057
NK0139-03030-38,PURPLE,38,1,6211 SUIT,NK0139,033,03030
NK0139-03030-38,GAJRI,38,2,6211 SUIT,NK0139,033,03030
NK0142-02003-42,GAJRI,42,1,6211 SUIT,NK0142,203,02003
NK0150-03030-38,BLUE,38,1,6211 SUIT,NK0150,033,03030
NK0150-03030-40,PURPLE,40,1,6211 SUIT,NK0150,033,03030
NK0150-03030-44,PURPLE,44,1,6211 SUIT,NK0150,033,03030
NK0150-03030-42,RANI,42,1,6211 SUIT,NK0150,033,03030
NK0153-00438-38,PURPLE,38,1,6211 SUIT,NK0153,,
NK0153-01003-42,ONION,42,1,6211 SUIT,NK0153,103,01003
NK0156-01001-42,ONION,42,1,6211 SUIT,NK0156,101,01001
NK0157-01001-38,PURPLE,38,1,6211 SUIT,NK0157,101,01001
NK0158-01003-38,BLUE,38,1,6211 SUIT,NK0158,103,01003
NK0158-01003-38,MUSTARD,38,1,6211 SUIT,NK0158,103,01003
NK0159-01004-38,MUSTARD,38,1,6211 SUIT,NK0159,104,01004
NK0159-01004-38,GREEN,38,1,6211 SUIT,NK0159,104,01004
NK0159-01004-38,BEIGE,38,1,6211 SUIT,NK0159,104,01004
NK0159-01004-38,PEACH,38,1,6211 SUIT,NK0159,104,01004
00638,,,1,6211 SUIT,NK0160,,
00640,,,1,6211 SUIT,NK0160,,
NK0161-01001-38,PEACH,38,1,6211 SUIT,NK0161,101,01001
01040,,,7,6211 SUIT,NK0162,,
01042,,,7,6211 SUIT,NK0162,,
01044,,,7,6211 SUIT,NK0162,,
01940,,,3,6211 SUIT,NK0162,,
01942,,,3,6211 SUIT,NK0162,,
01944,,,4,6211 SUIT,NK0162,,
LMN40,,,3,6211 SUIT,NK0162,,
LMN42,,,2,6211 SUIT,NK0162,,
LMN44,,,3,6211 SUIT,NK0162,,
NK0163-01001-38,PURPLE,38,1,6211 SUIT,NK0163,101,01001
NK0165-01001-40,WHITE,40,1,6211 SUIT,NK0165,OFF,01001
