Design,Colour 1,Colour 2,Colour 3,Colour 4,Colour 5
NK0005,T.BLUE,MOVE,,,
NK0107,BLUE,MUSTARD,RANI,,
NK0116,RANI,PURPLE,,,
NK0123,OFF WHITE,PURPLE,RANI,,
NK0127B,RANI,BLUE,,,
NK0136,OFF WHITE,GREEN,MOVE,,
NK0150A,BLUE,,,,
NK0158,OFF WHITE,,,,
NK0160,MUSTARD,,,,
NK0162,GREY,ONION,LEMON,,
NK0168,CHIKU,GREY,,,
NK0169,PEACH,YELLOW,,,
NK0178,WINE,BLUE,,,
NK0179,GREY,PEACH,LEMON,,
NK0181,BLUE,,,,
NK0182,BLUE,,,,
NK0184,GREEN,,,,
NK0189,MOVE,,,,
NK0192,ONION,,,,
NK0194,MUSTARD,,,,
NK0195,BLUE,,,,
NK0197,OFF WHITE,,,,
NK0199,MUSTARD,,,,
RS0008,RANI,ONION,,,
RS0013,PINK,OFF WHITE,,,
RS0023,MAROON,,,,
RS0024,Mauve,,,,
RS0026,BLUE,,,,
RS0027,OFF WHITE,,,,
RS0028,YELLOW,,,,
RS0030,BEIGE,,,,
RS0032,PEACH,,,,
RS0034,MUSTARD,,,,
RS0035,RANI,PURPLE,GREEN,,
RS0037,OFF WHITE,,,,
RS0038,GREEN,BLACK,,,
RS0039,OFF WHITE,,,,
SFT1050,PEACH,PURPLE,,,
SFT1051,PURPLE,PEACH,,,
SFT1161A,PEACH,GREEN,,,
SFT1200,MUSTARD,BLUE,RANI,,
SFT1218,RUST,RANI,,,
SFT1313,ONION,MUSTARD,ORANGE,,
SFT1434,BLUE,,,,
SFT1451,OFF WHITE,RANI,,,
SFT1471,MOVE,GREEN,,,
SFT1488,GREEN,ONION,,,
SFT1509,GAJRI,OFF WHITE,,,
SFT1519,OFF WHITE,ONION,,,
SFT1540,RANI,MOVE,BROWN,,
SFT1541,GREY,,,,
SFT1550,OFF WHITE,T.BLUE,,,
SFT1556,GREEN,,,,
SFT1561,WINE,BLUE,GREEN,,
SFT1563,MOVE,BROWN,,,
SFT1564,MUSTARD,,,,
SFT1566,WINE,BROWN,,,
SFT1610,PEACH,T.BLUE,GREEN,,
SFT1617,OFF WHITE,PURPLE,T.BLUE,BLUE,RANI
SFT1620,RANI,,,,
SFT1625,T.BLUE,PEACH,,,
SFT1627,PEACH,GREEN,T.BLUE,,
SFT1629,BEIGE,,,,
SFT1633,MOVE,LEMON,,,
SFT1634,GREEN,MOVE,ORANGE,,
SFT1636,MOVE,GREEN,,,
SFT1644,PURPLE,GREEN,,,
SFT1650,GREEN,MUSTARD,,,
SFT1662,GREEN,PURPLE,RANI,,
SFT1669,Mauve,GREEN,T.BLUE,,
SFT1670,PINK,GREEN,,,
SFT1671,GREEN,LEMON,,,
SFT1686,PURPLE,GREEN,,,
SFT1689,GREY,ONION,MOVE,,
SFT1693,LEMON,GREY,PEACH,,
SFT1695,MOVE,,,,
SFT1698,T.BLUE,GREEN,PEACH,,
SFT1701,BLUE,GREEN,WINE,,
SFT1703,RANI,,,,
SFT1708,OFF WHITE,T.BLUE,,,
SFT1718,MUSTARD,,,,
SFT1726,BLUE,OFF WHITE,PURPLE,,
SFT1733,BLACK,,,,
SFT1734,GREEN,,,,
SFT1738,OFF WHITE,PINK,GREEN,,
SFT1741,PURPLE,OFF WHITE,LEMON,,
SFT1742,BLUE,MOUSE,,,
SFT1745,RANI,MUSTARD,,,
SFT1752,PURPLE,,,,
SFT1753,GREEN,,,,
SFT1755,PURPLE,,,,
SFT1757,GREEN,PURPLE,,,
SFT1758,PURPLE,GREEN,MOVE,,
SFT1759,GREY,,,,
SFT1766,PURPLE,,,,
SFT1767,RED,BLUE,,,
SFT1768,RED,,,,
SFT1772,PURPLE,GREEN,,,
SFT1773,PEACH,YELLOW,GREEN,,
SFT1775,BLUE,BEIGE,,,
SFT1777,OFF WHITE,ONION,MOVE,,
SFT1780,OFF WHITE,BLUE,PURPLE,,
SFT1781,MUSTARD,,,,
SFT1783,RANI,BLUE,GREEN,,
SFT1791,GREEN,,,,
SFT1793,GREY,,,,
SFT1798,ONION,,,,
SFT1800,LEMON,,,,
SFT1801,BEIGE,,,,
SFT1802,YELLOW,,,,
SFT1803,LEMON,PEACH,,,
SFT1804,GREEN,,,,
SFT1806,BLUE,,,,
SFT1808,MOUSE,,,,
SFT1809,GREEN,BLUE,,,
SFT1810,BEIGE,,,,
SFT1811,BLUE,,,,
SFT1815,GREEN,,,,
SFT1820,GREEN,,,,
SFT1831,OFF WHITE,,,,
SFT191,WINE,GREEN,,,
SFT589A,WINE,T.BLUE,GREEN,MOVE,
